,Mean,StdDev,5%,95%,ESS_bulk,ESS_tail,R_hat
"beta_language_std[14,11]",0.0510476,0.0269095,0.00729984,0.0957878,12426.4,4967.59,0.999996
"beta_language_std[14,12]",-0.137432,0.0633077,-0.239652,-0.0329025,2218.2,1632.74,1.00465
"beta_language_std[15,1]",0.0581852,0.0271325,0.0131676,0.103492,14291.7,5233.89,1.00116
"beta_language_std[15,2]",-0.0283989,0.0266663,-0.07293,0.0149573,15604.7,5225.56,1.00074
"beta_language_std[15,3]",0.348565,0.0286986,0.301492,0.395533,14006.0,5324.61,1.00056
"beta_language_std[15,4]",0.0353628,0.0273771,-0.010053,0.0800748,11038.2,4660.08,1.00138
"beta_language_std[15,5]",-0.00950317,0.0272255,-0.0539987,0.035945,14913.9,5778.61,1.0002
"beta_language_std[15,6]",-0.183013,0.0387215,-0.245238,-0.119356,14128.2,4875.4,1.00039
"beta_language_std[15,7]",0.120943,0.0281932,0.0742138,0.166861,15821.3,4995.09,1.00083
"beta_language_std[15,8]",0.022258,0.027324,-0.0224584,0.0670401,14088.3,6255.1,1.00083
"beta_language_std[15,9]",0.0238756,0.027652,-0.0205495,0.0694104,14145.1,5455.99,1.00167
"beta_language_std[15,10]",-0.229123,0.0270693,-0.27348,-0.184275,12371.7,4788.7,1.00066
"beta_language_std[15,11]",-0.020853,0.0224827,-0.0578842,0.0159214,13014.6,5044.1,1.00165
"beta_language_std[15,12]",-0.138299,0.0634329,-0.239797,-0.0343012,1955.93,2055.13,1.00695
"beta_language_std[16,1]",0.0956825,0.0272242,0.0511284,0.141139,14844.3,5975.05,1.00069
"beta_language_std[16,2]",-0.0332806,0.0271566,-0.0771991,0.0115702,13700.1,5488.31,1.00056
"beta_language_std[16,3]",0.331243,0.0297504,0.282746,0.380793,14034.3,6011.01,1.00048
"beta_language_std[16,4]",0.060397,0.027585,0.0150856,0.106054,12851.2,5608.24,1.00082
"beta_language_std[16,5]",0.0312629,0.0274677,-0.0147025,0.0756979,14937.6,5224.89,0.999957
"beta_language_std[16,6]",-0.217112,0.0396478,-0.282258,-0.151693,14532.9,5820.07,1.00032
"beta_language_std[16,7]",0.0595418,0.0273576,0.0148728,0.104357,15020.7,5435.94,0.999709
"beta_language_std[16,8]",0.0100227,0.0276152,-0.0351609,0.055183,17355.2,5935.55,1.00101
"beta_language_std[16,9]",0.0286271,0.0275307,-0.0161545,0.0745198,14157.6,5462.81,1.00051
"beta_language_std[16,10]",-0.23304,0.0278865,-0.27899,-0.187579,15588.5,5632.45,1.00197
"beta_language_std[16,11]",0.00463989,0.0245994,-0.0365669,0.0449593,13252.4,5349.93,1.00088
"beta_language_std[16,12]",-0.137984,0.0628322,-0.238384,-0.0369994,2238.35,2307.46,1.00601
"beta_language_std[17,1]",0.13979,0.0277719,0.0942326,0.185801,15286.6,5833.52,0.999951
"beta_language_std[17,2]",-0.0207631,0.0278387,-0.0667946,0.024689,15238.0,5436.97,1.00323
"beta_language_std[17,3]",0.389775,0.0304261,0.340092,0.439816,16462.1,5747.63,1.00073
"beta_language_std[17,4]",0.0720391,0.0283897,0.0247978,0.118879,13221.5,5813.1,1.00042
"beta_language_std[17,5]",0.178191,0.0277013,0.132748,0.223437,14961.3,5325.7,1.00135
"beta_language_std[17,6]",-0.327267,0.0386529,-0.390921,-0.263888,15140.8,5900.81,1.00039
"beta_language_std[17,7]",0.098327,0.0273379,0.0534186,0.143458,15751.4,5663.79,1.00052
"beta_language_std[17,8]",0.0468968,0.0283657,-1.17767e-05,0.0933539,14800.8,5376.69,1.00156
"beta_language_std[17,9]",0.0992972,0.0282283,0.0533088,0.145892,14324.4,5216.68,1.00051
"beta_language_std[17,10]",-0.582552,0.0277047,-0.627755,-0.537522,12668.2,5881.09,1.001
"beta_language_std[17,11]",0.034436,0.02454,-0.00593466,0.0750267,11297.4,5402.22,1.00122
"beta_language_std[17,12]",-0.12817,0.0628465,-0.22532,-0.025656,1726.1,1554.19,1.0057
"beta_language_std[18,1]",0.0488342,0.029155,0.00180749,0.0968622,15801.1,5648.24,1.00078
"beta_language_std[18,2]",0.125623,0.0302555,0.0758545,0.17546,21290.8,5804.55,1.00017
"beta_language_std[18,3]",0.269902,0.0324057,0.21705,0.322642,16433.5,5536.84,1.00024
"beta_language_std[18,4]",-0.0146684,0.0298528,-0.0640604,0.0357817,17758.2,5162.58,1.00151
"beta_language_std[18,5]",0.216587,0.0302139,0.167546,0.266432,16627.2,5925.48,1.00068
"beta_language_std[18,6]",-0.376724,0.0392381,-0.442018,-0.311686,18173.3,6079.86,1.0007
"beta_language_std[18,7]",0.0707892,0.0289631,0.0239633,0.117998,16700.0,5283.03,1.00046
"beta_language_std[18,8]",-0.0330563,0.0296964,-0.0821168,0.0156836,13795.2,4624.94,1.00204
"beta_language_std[18,9]",0.162153,0.0312235,0.111267,0.213032,16548.9,5454.87,1.00031
"beta_language_std[18,10]",-0.436672,0.0297474,-0.48537,-0.38731,20667.7,5644.9,1.00136
"beta_language_std[18,11]",0.123895,0.0269243,0.0794097,0.168435,17243.3,5866.76,1.0002
"beta_language_std[18,12]",-0.156662,0.028771,-0.204073,-0.110029,4225.8,4188.23,1.00213
"beta_language_std[19,1]",0.0490941,0.0297647,8.67653e-05,0.0987419,18414.1,5406.13,1.00139
"beta_language_std[19,2]",0.117407,0.0302525,0.0683799,0.167207,15636.9,5842.85,1.00077
"beta_language_std[19,3]",0.310795,0.0324936,0.257959,0.363906,18767.0,5778.27,1.0023
"beta_language_std[19,4]",-0.0343413,0.0289271,-0.0818628,0.0134386,16604.6,5517.51,1.00015
"beta_language_std[19,5]",0.220496,0.0307578,0.170375,0.270766,15455.4,5430.54,1.0005
"beta_language_std[19,6]",-0.387673,0.0398239,-0.452725,-0.321849,17088.4,5957.32,1.0008
"beta_language_std[19,7]",0.040438,0.0290407,-0.00722955,0.089053,19328.9,5720.56,1.00013
"beta_language_std[19,8]",-0.00398183,0.029913,-0.0533481,0.0461646,17359.6,5833.93,1.00126
"beta_language_std[19,9]",0.191497,0.0322353,0.138393,0.244952,19678.0,4971.45,1.00155
"beta_language_std[19,10]",-0.417205,0.030293,-0.466602,-0.367136,17396.8,4808.46,1.00044
"beta_language_std[19,11]",0.0566889,0.0266705,0.0127905,0.100967,17120.8,4821.35,1.00071
"beta_language_std[19,12]",-0.143215,0.0281373,-0.189068,-0.0965398,5910.49,4586.5,1.00155
"beta_language_std[20,1]",0.0130369,0.0292546,-0.0350189,0.0608304,11057.3,4784.48,1.00011
"beta_language_std[20,2]",0.367518,0.0320688,0.315297,0.420029,15428.9,5756.12,1.00023
"beta_language_std[20,3]",0.243334,0.0322551,0.190304,0.296021,16208.4,5660.74,0.999915
"beta_language_std[20,4]",-0.0935109,0.0298814,-0.142597,-0.0442392,16041.6,5606.72,1.00222
"beta_language_std[20,5]",0.162601,0.0305523,0.111832,0.213199,13476.0,5166.49,1.00064
"beta_language_std[20,6]",-0.446596,0.0413663,-0.51472,-0.379046,16703.2,6097.5,1.00128
"beta_language_std[20,7]",0.015682,0.0303305,-0.0341819,0.0659587,15929.2,5758.85,1.00123
"beta_language_std[20,8]",-0.080435,0.0309668,-0.130768,-0.0285398,15851.9,5932.93,1.0021
"beta_language_std[20,9]",0.180102,0.0317289,0.12854,0.232903,17948.2,5238.4,1.00056
"beta_language_std[20,10]",-0.397152,0.0284098,-0.443552,-0.349957,13364.2,5462.12,1.00094
"beta_language_std[20,11]",0.178405,0.0266145,0.134871,0.222667,15435.8,6215.81,1.00004
"beta_language_std[20,12]",-0.142985,0.0630196,-0.244528,-0.0407076,2129.62,1803.31,1.00518
