,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
alpha_std[29],1.03997,0.0001977,0.0159819,0.0157304,1.01362,1.03994,1.06606,6609.31,6070.59,1.00023
alpha_std[30],1.26348,0.000191001,0.0169145,0.0166867,1.23593,1.26344,1.29114,7836.92,6779.4,1.0003
alpha_std[31],1.30103,0.000196725,0.0171519,0.0172575,1.27267,1.30116,1.3291,7694.36,5525.14,1.0001
alpha_std[32],1.20256,0.00020039,0.0167255,0.0162567,1.17495,1.20239,1.23014,7040.77,6082.68,1.00012
alpha_std[33],1.40243,0.000150598,0.0165196,0.0165236,1.3751,1.40231,1.42978,12035.3,6627.23,1.00023
alpha_std[34],0.830809,0.000177136,0.0155377,0.0155265,0.805215,0.830918,0.856722,7811.53,6862.61,1.00007
alpha_std[35],0.701613,0.000183758,0.0155691,0.0154583,0.676587,0.701522,0.727202,7295.55,7006.13,1.00112
alpha_std[36],0.301431,0.000179538,0.0150493,0.0151411,0.276713,0.301449,0.326129,7119.69,6079.2,1.00037
alpha_std[37],0.0719174,0.000184267,0.0148739,0.0148068,0.0473258,0.0717171,0.0961488,6606.13,6230.07,0.999864
alpha_std[38],0.697331,0.000189385,0.0153595,0.0154502,0.671839,0.697424,0.722274,6684.21,6777.14,1.00025
alpha_std[39],0.649563,0.000196767,0.0152436,0.0150506,0.624747,0.64962,0.674732,6099.01,5884.68,1.00076
alpha_std[40],0.872338,0.000192721,0.0157435,0.0157749,0.846261,0.872341,0.897995,6815.76,6404.52,1.0004
alpha_std[41],0.807253,0.000183681,0.0153503,0.0154791,0.78225,0.807025,0.832659,7083.24,6901.77,1.00031
alpha_std[42],0.0126663,0.000173276,0.0149011,0.0146117,-0.011545,0.0125828,0.0371425,7503.32,6098.8,1.00052
alpha_std[43],-0.0974699,0.000181275,0.0148373,0.0150086,-0.121769,-0.0972746,-0.073214,6801.85,4778.29,1.00023
alpha_std[44],0.982014,0.000174473,0.0160853,0.0160832,0.955788,0.981796,1.0093,8701.52,5782.53,1.0
alpha_std[45],0.951957,0.000194725,0.015767,0.0158149,0.925757,0.952084,0.977803,6659.94,6721.3,1.00015
alpha_std[46],0.484827,0.000212867,0.0153375,0.0152841,0.459627,0.484845,0.509873,5285.42,4983.77,0.999871
alpha_std[47],0.417394,0.000172505,0.0147617,0.0147104,0.39331,0.417544,0.441579,7387.74,6397.62,1.00138
alpha_std[48],-0.287125,0.000196656,0.017062,0.0170277,-0.315332,-0.286838,-0.259548,7581.9,6160.53,1.0001
alpha_std[49],0.418195,0.000186234,0.0148607,0.0145628,0.393503,0.418175,0.443065,6347.75,5830.29,1.00109
alpha_std[50],0.745408,0.000201037,0.0156377,0.0159335,0.719458,0.745658,0.770522,6092.0,5798.56,1.00057
alpha_std[51],1.26309,0.000184207,0.0163965,0.0166199,1.23556,1.26308,1.29024,7999.7,6535.8,1.00038
alpha_std[52],0.983394,0.000196903,0.015693,0.0157193,0.957535,0.983456,1.00927,6408.2,5255.33,1.00029
alpha_std[53],-0.274664,0.000196603,0.0155474,0.0152574,-0.300023,-0.274737,-0.249111,6320.88,6071.1,1.00057
alpha_std[54],-0.101618,0.000177268,0.0149327,0.0148951,-0.125854,-0.10155,-0.0772068,7189.37,6441.01,1.00013
alpha_std[55],0.0750209,0.000185841,0.0147891,0.0147369,0.0507427,0.0749531,0.0998201,6385.11,4990.38,1.00055
alpha_std[56],0.176215,0.000174389,0.0147128,0.0147252,0.151512,0.176293,0.200283,7215.88,6267.6,1.00054
alpha_std[57],0.432727,0.000194113,0.0147287,0.014402,0.408656,0.432462,0.457091,5915.33,5821.96,1.00072
alpha_std[58],0.464213,0.00017212,0.0147295,0.0145139,0.439828,0.464104,0.488959,7396.33,6137.11,1.00133
alpha_std[59],-0.197927,0.000206987,0.0157781,0.015717,-0.223682,-0.198144,-0.171708,5901.41,6127.9,1.00023
alpha_std[60],-0.381328,0.000192115,0.0157359,0.0156726,-0.407346,-0.381292,-0.355106,6790.01,5913.31,1.00047
alpha_std[61],0.280108,0.000180705,0.0145979,0.0147252,0.25565,0.28017,0.303955,6625.14,6217.75,1.00024
alpha_std[62],0.255232,0.000177214,0.0147364,0.0146192,0.231251,0.25502,0.279556,7008.38,6144.34,1.00088
alpha_std[63],0.330236,0.000177925,0.0144971,0.0142826,0.306141,0.330311,0.354038,6722.75,4640.59,1.00056
alpha_std[64],0.274661,0.000173375,0.0149571,0.0149379,0.250406,0.274695,0.299205,7539.36,6382.47,1.0005
alpha_std[65],0.678745,0.000190334,0.0150484,0.0153212,0.654181,0.678768,0.703228,6352.81,6747.06,1.00043
alpha_std[66],1.05654,0.000188945,0.0159468,0.0158342,1.03051,1.05674,1.08283,7252.21,6711.69,0.999937
alpha_std[67],0.578541,0.000183427,0.0151465,0.0149439,0.553398,0.578564,0.603382,6987.56,6092.38,1.00195
alpha_std[68],0.559637,0.000189567,0.0149515,0.0148445,0.535326,0.559689,0.583959,6346.5,5971.3,1.00031
alpha_std[69],0.0531442,0.0001903,0.0151197,0.0153313,0.0285036,0.0531072,0.0776987,6473.25,5470.83,1.00063
alpha_std[70],-0.125158,0.000177483,0.0149821,0.014932,-0.150007,-0.125173,-0.100466,7219.73,5675.49,1.00027
alpha_std[71],0.339531,0.000179259,0.014956,0.0147319,0.31518,0.339545,0.364599,7066.93,5475.71,1.00028
alpha_std[72],1.03376,0.000201966,0.0161544,0.0159676,1.00695,1.03382,1.06035,6484.26,5987.69,1.0002
alpha_std[73],0.923291,0.000186407,0.0158418,0.0156273,0.897102,0.923499,0.949169,7131.35,6647.79,0.999938
alpha_std[74],1.02747,0.000193985,0.0159006,0.0157675,1.00123,1.02754,1.05377,6842.44,6713.43,1.00054
alpha_std[75],0.562757,0.00018894,0.0149511,0.014763,0.538296,0.562702,0.587744,6288.71,4965.59,1.00043
alpha_std[76],0.530715,0.00018942,0.0149904,0.0149075,0.50574,0.530895,0.555512,6405.71,5180.91,1.0003
alpha_std[77],0.600424,0.000186316,0.0151262,0.0148979,0.575129,0.600572,0.624889,6703.13,5854.51,0.99995
alpha_std[78],0.308288,0.000199159,0.0145694,0.0147274,0.284633,0.30837,0.332337,5446.41,5829.1,1.00044
alpha_std[79],0.212721,0.000207622,0.01569,0.0158727,0.187168,0.212595,0.238935,5847.53,4714.0,1.00017
alpha_std[80],0.446145,0.000190164,0.0145888,0.0143864,0.422389,0.445967,0.470372,6013.17,3976.92,1.00022
alpha_std[81],0.409023,0.000185184,0.0145872,0.0147422,0.38499,0.409089,0.433146,6371.93,6431.75,1.00041
alpha_std[82],0.951366,0.000196978,0.0156672,0.0157675,0.925548,0.951413,0.97737,6536.87,6087.91,1.00068
alpha_std[83],0.646708,0.000169734,0.0153872,0.0154561,0.621374,0.646791,0.671669,8299.38,6483.58,0.99974
alpha_std[84],0.349224,0.000178625,0.0146981,0.0146926,0.324899,0.349367,0.373133,6887.5,5352.38,1.00056
alpha_std[85],0.856213,0.000179207,0.0160028,0.0159202,0.830126,0.856082,0.882196,8034.99,6334.83,1.00025
