,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
y_pred[6083],0.692989,0.00139868,0.124307,0.130154,0.475797,0.701628,0.879925,7930.4,7693.44,1.0002
y_pred[6084],0.308408,0.0029909,0.266489,0.286721,0.00515682,0.241904,0.830352,8054.37,8133.89,1.00019
y_pred[6085],0.335342,0.00414451,0.375538,0.206695,9.39222e-07,0.13943,0.994694,7964.68,7597.13,1.00063
y_pred[6086],0.23554,0.00378549,0.340786,0.0350562,4.20085e-10,0.0236451,0.978528,8000.67,8184.59,1.00021
y_pred[6087],0.349948,0.00369773,0.321018,0.346662,0.00113405,0.25338,0.94055,7341.18,7861.89,1.0008
y_pred[6088],0.386922,0.00408396,0.365033,0.405233,0.000103633,0.279132,0.989862,8115.05,8012.0,0.999817
y_pred[6089],0.538797,0.00402409,0.363499,0.533002,0.00568367,0.575109,0.998139,8187.17,7640.93,1.0004
y_pred[6090],0.278708,0.00138945,0.12287,0.123765,0.0986476,0.265891,0.502896,7840.0,7583.96,1.0002
y_pred[6091],0.503266,0.00309456,0.285145,0.361637,0.055239,0.501828,0.951192,8198.59,7648.69,1.00046
y_pred[6092],0.538572,0.0043998,0.396118,0.585686,0.000498543,0.593079,0.999877,8065.56,7852.15,1.00033
y_pred[6093],0.420917,0.00442553,0.395903,0.446445,2.09951e-05,0.302227,0.998826,8019.46,7498.57,1.00006
y_pred[6094],0.551635,0.00378335,0.333887,0.46161,0.0235824,0.584205,0.993671,7823.47,7963.29,1.00019
y_pred[6095],0.586356,0.00412911,0.36958,0.459604,0.007046,0.679011,0.99972,8114.99,7987.35,0.999941
y_pred[6096],0.73381,0.0035986,0.320466,0.152175,0.0537857,0.897269,0.999994,7878.79,7754.53,0.999962
y_pred[6097],0.468323,0.00152084,0.137719,0.143166,0.24068,0.466792,0.695018,8210.48,6845.49,0.999826
y_pred[6098],0.793346,0.00267608,0.232529,0.159457,0.283145,0.886903,0.999627,7984.14,7581.29,0.999785
y_pred[6099],0.815747,0.00338236,0.309005,0.00856646,0.0527004,0.994222,1.0,8196.8,7817.77,1.00014
y_pred[6100],0.729721,0.00397832,0.355768,0.0727816,0.01397,0.95091,1.0,8103.1,7665.81,1.00013
y_pred[6101],0.823864,0.00276769,0.251723,0.0614449,0.229509,0.958547,0.999999,8298.31,8230.78,0.99972
y_pred[6102],0.847247,0.00299453,0.27029,0.00879182,0.133743,0.99407,1.0,8270.84,7945.72,0.999882
y_pred[6103],0.906898,0.00237944,0.213502,0.00033062,0.334924,0.999777,1.0,8276.14,7748.48,1.00093
y_pred[6104],0.769387,0.00126897,0.114286,0.117019,0.557144,0.782279,0.930221,8226.56,7662.6,0.999784
y_pred[6105],0.893498,0.00204188,0.176157,0.0285445,0.487395,0.980743,1.0,7826.52,7101.69,1.00025
y_pred[6106],0.905011,0.00263953,0.231812,1.4826e-05,0.240792,0.99999,1.0,7832.53,7470.49,1.00014
y_pred[6107],0.858843,0.00314894,0.278781,0.00115495,0.104213,0.999221,1.0,7698.32,7551.14,0.999849
y_pred[6108],0.911911,0.00211832,0.191348,0.00184287,0.414574,0.998757,1.0,8041.01,8181.07,1.00005
y_pred[6109],0.927498,0.00219509,0.192626,2.52042e-05,0.440862,0.999983,1.0,7953.64,7862.73,1.00025
y_pred[6110],0.956706,0.00165131,0.147352,0.0,0.661968,1.0,1.0,7318.72,6853.64,1.00049
y_pred[6111],0.880912,0.000975288,0.0877872,0.0796379,0.707935,0.900535,0.984954,8095.56,7825.5,1.00023
y_pred[6112],0.71379,0.00294006,0.261392,0.2574,0.187198,0.791864,0.996582,7879.84,7644.51,0.999882
y_pred[6113],0.727627,0.00393344,0.353957,0.081583,0.0156253,0.944973,1.0,8091.71,7809.48,1.00014
y_pred[6114],0.634707,0.00419981,0.384421,0.278851,0.00375965,0.811859,0.999997,8307.99,7846.24,1.00025
y_pred[6115],0.745961,0.00332783,0.291961,0.179088,0.130745,0.87816,0.999946,7728.5,7934.4,1.00002
y_pred[6116],0.778428,0.00349914,0.309265,0.0586932,0.0700957,0.960412,1.0,7814.9,7946.7,1.00015
y_pred[6117],0.866871,0.00277265,0.246503,0.00608756,0.218297,0.995894,1.0,7981.58,7349.59,1.0006
y_pred[6118],0.680298,0.00137698,0.127265,0.132448,0.453682,0.689934,0.870753,8520.68,7881.18,0.999979
y_pred[6119],0.579851,0.00317868,0.284848,0.353904,0.0871037,0.615096,0.975818,7896.21,7438.1,1.00016
y_pred[6120],0.603182,0.00431722,0.387617,0.372645,0.00224003,0.748237,0.99998,7955.15,7927.26,1.00032
y_pred[6121],0.490061,0.00453783,0.398454,0.645528,0.000183352,0.476192,0.999718,7723.0,7912.2,0.999876
y_pred[6122],0.625529,0.00360495,0.323044,0.380461,0.0475945,0.704352,0.997835,7928.87,7769.02,0.999961
y_pred[6123],0.661681,0.00407463,0.357611,0.263015,0.0143703,0.822162,0.999978,7859.74,8012.15,1.00022
y_pred[6124],0.790481,0.00329168,0.293381,0.0683516,0.10713,0.953896,1.0,7880.57,7734.35,1.00013
y_pred[6125],0.543029,0.00150574,0.13578,0.144586,0.319252,0.545228,0.759471,8219.27,7728.6,1.00003
y_pred[6126],0.049003,0.00138475,0.122577,0.000580868,2.66077e-14,0.00039179,0.317713,8331.25,7441.83,0.999926
y_pred[6127],0.0561442,0.00211158,0.183741,2.1392e-09,2.80116e-41,1.44287e-09,0.49605,7741.51,7710.22,1.00012
y_pred[6128],0.03383,0.00163459,0.141596,2.83717e-15,2.36909e-66,1.91364e-15,0.215771,7517.26,7499.01,0.999918
