,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
alpha_std[2],-0.0357997,0.0276866,2.45832,2.31207,-3.94222,-0.0498878,3.87074,7940.85,7958.37,0.999871
alpha_std[3],-0.033849,0.0274077,2.45532,2.25735,-3.92915,-0.0333248,3.83706,7997.98,7948.34,0.999892
alpha_std[4],-0.0517789,0.0275704,2.4613,2.27797,-4.00294,-0.0566774,3.76004,7972.5,7820.83,1.00009
alpha_std[5],-0.0141441,0.0277421,2.4692,2.27568,-3.9174,-0.0168385,3.89266,7962.54,7954.35,1.00013
alpha_std[6],-0.0330922,0.0277092,2.44489,2.26643,-3.98576,-0.00116458,3.82827,7974.89,7951.21,0.999721
alpha_std[7],-0.0121212,0.0273649,2.45978,2.26336,-3.87388,-0.00677762,3.84885,8038.69,7829.04,0.999756
alpha_std[8],-0.0211967,0.0279394,2.41729,2.26251,-3.84283,-0.0221939,3.8252,7556.61,7918.45,1.00015
alpha_std[9],-0.0320076,0.0278565,2.44434,2.29316,-4.01007,-0.0144955,3.84988,7687.24,7596.25,0.999903
alpha_std[10],-0.026976,0.0277747,2.42361,2.24726,-3.89498,-0.0402269,3.80114,7683.84,7983.1,1.00023
"beta_language_std_unc[1,1]",0.00815509,0.0265848,2.38506,2.17168,-3.75142,-0.0107837,3.80186,8128.29,7583.32,1.00044
"beta_language_std_unc[1,2]",-0.0248019,0.0275023,2.40465,2.22256,-3.87405,-0.00707939,3.78041,7783.78,7662.73,0.999838
"beta_language_std_unc[1,3]",-0.00993454,0.0264819,2.3785,2.22049,-3.83104,0.0123514,3.77009,8048.42,7741.3,1.00006
"beta_language_std_unc[1,4]",-0.000740413,0.0266271,2.36197,2.15971,-3.68967,0.0301167,3.74124,7869.4,7489.58,1.00025
"beta_language_std_unc[1,5]",-0.00210671,0.027416,2.37551,2.22745,-3.73961,-0.0277802,3.81116,7515.88,7674.83,1.00004
